case_id,src,dst
173688,0,1
173688,1,2
173688,2,3
173688,3,4
173688,4,5
173688,5,6
173688,6,7
173688,7,8
173688,8,9
173688,9,10
173688,10,11
173688,11,12
173688,12,13
173688,13,14
173688,14,15
173688,15,16
173688,16,17
173688,17,18
173688,18,19
173688,19,20
173688,20,21
173688,21,22
173688,22,23
173688,23,24
173688,24,25
173691,0,1
173691,1,2
173691,2,3
173691,3,4
173691,4,5
173691,5,6
173691,6,7
173691,7,8
173691,8,9
173691,9,10
173691,10,11
173691,11,12
173691,12,13
173691,13,14
173691,14,15
173691,15,16
173691,16,17
173691,17,18
173691,18,19
173691,19,20
173691,20,21
173691,21,22
173691,22,23
173691,23,24
173691,24,25
173691,25,26
173691,26,27
173691,27,28
173691,28,29
173691,29,30
173691,30,31
173691,31,32
173691,32,33
173691,33,34
173691,34,35
173691,35,36
173691,36,37
173691,37,38
173694,0,1
173694,1,2
173694,2,3
173694,3,4
173694,4,5
173694,5,6
173694,6,7
173694,7,8
173694,8,9
173694,9,10
173694,10,11
173694,11,12
173694,12,13
173694,13,14
173694,14,15
173694,15,16
173694,16,17
173694,17,18
173694,18,19
173694,19,20
173694,20,21
173694,21,22
173694,22,23
173694,23,24
173694,24,25
173694,25,26
173694,26,27
173694,27,28
173694,28,29
173694,29,30
173694,30,31
173694,31,32
173694,32,33
173694,33,34
173694,34,35
173694,35,36
173694,36,37
173694,37,38
173694,38,39
173694,39,40
173694,40,41
173694,41,42
173694,42,43
173694,43,44
173694,44,45
173694,45,46
173694,46,47
173694,47,48
173694,48,49
173694,49,50
173694,50,51
173694,51,52
173694,52,53
173694,53,54
173694,54,55
173694,55,56
173694,56,57
173694,57,58
173697,0,1
173697,1,2
173700,0,1
173700,1,2
173703,0,1
173703,1,2
173703,2,3
173703,3,4
173703,4,5
173703,5,6
173703,6,7
173703,7,8
173706,0,1
173706,1,2
173706,2,3
173706,3,4
173706,4,5
173706,5,6
173706,6,7
173706,7,8
173706,8,9
173706,9,10
173706,10,11
173706,11,12
173706,12,13
173709,0,1
173709,1,2
173709,2,3
173709,3,4
173709,4,5
173709,5,6
173709,6,7
173709,7,8
173709,8,9
173709,9,10
173709,10,11
173712,0,1
173712,1,2
173712,2,3
173712,3,4
173712,4,5
173712,5,6
173712,6,7
173712,7,8
173712,8,9
173712,9,10
173712,10,11
173712,11,12
173712,12,13
173715,0,1
173715,1,2
173715,2,3
173715,3,4
173715,4,5
173715,5,6
173715,6,7
173715,7,8
173715,8,9
173715,9,10
173715,10,11
173715,11,12
173715,12,13
173715,13,14
173715,14,15
173715,15,16
173715,16,17
173715,17,18
173715,18,19
173715,19,20
173715,20,21
173715,21,22
173715,22,23
173718,0,1
173718,1,2
173718,2,3
173718,3,4
173718,4,5
173718,5,6
173718,6,7
173718,7,8
173718,8,9
173718,9,10
173718,10,11
173718,11,12
173718,12,13
173718,13,14
173718,14,15
173718,15,16
173718,16,17
173718,17,18
173718,18,19
173718,19,20
173718,20,21
173718,21,22
173718,22,23
173718,23,24
173718,24,25
173718,25,26
173718,26,27
173718,27,28
173718,28,29
173718,29,30
173718,30,31
173718,31,32
173718,32,33
173718,33,34
173718,34,35
173718,35,36
173718,36,37
173718,37,38
173718,38,39
173718,39,40
173718,40,41
173718,41,42
173718,42,43
173718,43,44
173718,44,45
173718,45,46
173718,46,47
173718,47,48
173718,48,49
173718,49,50
173718,50,51
173718,51,52
173718,52,53
173718,53,54
173718,54,55
173718,55,56
173718,56,57
173718,57,58
173718,58,59
173718,59,60
173718,60,61
173718,61,62
173718,62,63
173718,63,64
173718,64,65
173718,65,66
173718,66,67
173718,67,68
173718,68,69
173718,69,70
173718,70,71
173718,71,72
173718,72,73
173718,73,74
173718,74,75
173718,75,76
173721,0,1
173721,1,2
173721,2,3
173721,3,4
173721,4,5
173721,5,6
173721,6,7
173721,7,8
173721,8,9
173721,9,10
173721,10,11
173721,11,12
173721,12,13
173721,13,14
173721,14,15
173721,15,16
173721,16,17
173721,17,18
173721,18,19
173721,19,20
173721,20,21
173721,21,22
173721,22,23
173721,23,24
173721,24,25
173721,25,26
173721,26,27
173721,27,28
173721,28,29
173721,29,30
173721,30,31
173721,31,32
173721,32,33
173721,33,34
173724,0,1
173724,1,2
173724,2,3
173724,3,4
173724,4,5
173724,5,6
173724,6,7
173724,7,8
173724,8,9
173724,9,10
173724,10,11
173724,11,12
173724,12,13
173724,13,14
173724,14,15
173724,15,16
173724,16,17
173724,17,18
173724,18,19
173727,0,1
173727,1,2
173730,0,1
173730,1,2
173730,2,3
173730,3,4
173730,4,5
173730,5,6
173730,6,7
173730,7,8
173730,8,9
173730,9,10
173730,10,11
173730,11,12
173730,12,13
173730,13,14
173730,14,15
173730,15,16
173730,16,17
173730,17,18
173730,18,19
173730,19,20
173730,20,21
173730,21,22
173730,22,23
173730,23,24
173730,24,25
173730,25,26
173730,26,27
173730,27,28
173730,28,29
173730,29,30
173730,30,31
173730,31,32
173730,32,33
173730,33,34
173730,34,35
173730,35,36
173730,36,37
173730,37,38
173730,38,39
173730,39,40
173730,40,41
173730,41,42
173730,42,43
173730,43,44
173730,44,45
173730,45,46
173730,46,47
173730,47,48
173730,48,49
173730,49,50
173730,50,51
173730,51,52
173730,52,53
173730,53,54
173730,54,55
173730,55,56
173730,56,57
173730,57,58
173730,58,59
173730,59,60
173730,60,61
173730,61,62
173730,62,63
173730,63,64
173730,64,65
173730,65,66
173730,66,67
173730,67,68
173730,68,69
173730,69,70
173730,70,71
173730,71,72
173730,72,73
173730,73,74
173730,74,75
173733,0,1
173733,1,2
173733,2,3
173733,3,4
173733,4,5
173736,0,1
173736,1,2
173736,2,3
173736,3,4
173736,4,5
173736,5,6
173736,6,7
173736,7,8
173736,8,9
173736,9,10
173736,10,11
173736,11,12
173736,12,13
173736,13,14
173736,14,15
173736,15,16
173736,16,17
173736,17,18
173736,18,19
173736,19,20
173736,20,21
173736,21,22
173736,22,23
173736,23,24
173736,24,25
173736,25,26
173736,26,27
173736,27,28
173736,28,29
173736,29,30
173736,30,31
173736,31,32
173736,32,33
173736,33,34
173736,34,35
173736,35,36
173736,36,37
173736,37,38
173736,38,39
173736,39,40
173736,40,41
173736,41,42
173736,42,43
173736,43,44
173736,44,45
173736,45,46
173736,46,47
173736,47,48
173736,48,49
173736,49,50
173736,50,51
173736,51,52
173736,52,53
173736,53,54
173739,0,1
173739,1,2
173739,2,3
173739,3,4
173739,4,5
173739,5,6
173739,6,7
173739,7,8
173739,8,9
173739,9,10
173739,10,11
173739,11,12
173739,12,13
173739,13,14
173739,14,15
173739,15,16
173739,16,17
173739,17,18
173739,18,19
173739,19,20
173739,20,21
173739,21,22
173739,22,23
173739,23,24
173739,24,25
173739,25,26
173739,26,27
173739,27,28
173739,28,29
173739,29,30
173739,30,31
173739,31,32
173739,32,33
173739,33,34
173739,34,35
173739,35,36
173739,36,37
173739,37,38
173739,38,39
173739,39,40
173739,40,41
173739,41,42
173739,42,43
173739,43,44
173739,44,45
173739,45,46
173739,46,47
173742,0,1
173742,1,2
173742,2,3
173742,3,4
173742,4,5
173742,5,6
173742,6,7
173742,7,8
173742,8,9
173742,9,10
173742,10,11
173742,11,12
173742,12,13
173742,13,14
173742,14,15
173742,15,16
173742,16,17
173742,17,18
173742,18,19
173742,19,20
173742,20,21
173742,21,22
173742,22,23
173742,23,24
173742,24,25
173742,25,26
173742,26,27
173742,27,28
173742,28,29
173742,29,30
173742,30,31
173742,31,32
173742,32,33
173742,33,34
173742,34,35
173742,35,36
173742,36,37
173742,37,38
173742,38,39
173745,0,1
173745,1,2
173745,2,3
173745,3,4
173745,4,5
173745,5,6
173745,6,7
173745,7,8
173745,8,9
173745,9,10
173745,10,11
173745,11,12
173745,12,13
173745,13,14
173745,14,15
173745,15,16
173745,16,17
173745,17,18
173748,0,1
173748,1,2
173748,2,3
173748,3,4
173748,4,5
173748,5,6
173748,6,7
173748,7,8
173748,8,9
173748,9,10
173748,10,11
173748,11,12
173748,12,13
173748,13,14
173748,14,15
173748,15,16
173748,16,17
173748,17,18
173748,18,19
173748,19,20
173748,20,21
173748,21,22
173748,22,23
173748,23,24
173748,24,25
173748,25,26
173748,26,27
173748,27,28
173748,28,29
173748,29,30
173748,30,31
173748,31,32
173748,32,33
173748,33,34
173748,34,35
173748,35,36
173748,36,37
173751,0,1
173751,1,2
173751,2,3
173751,3,4
173751,4,5
173751,5,6
173751,6,7
173751,7,8
173751,8,9
173751,9,10
173751,10,11
173751,11,12
173751,12,13
173751,13,14
173751,14,15
173751,15,16
173751,16,17
173751,17,18
173751,18,19
173751,19,20
173751,20,21
173751,21,22
173751,22,23
173754,0,1
173754,1,2
173754,2,3
173754,3,4
173754,4,5
173754,5,6
173754,6,7
173754,7,8
173754,8,9
173754,9,10
173754,10,11
173754,11,12
173754,12,13
173754,13,14
173754,14,15
173754,15,16
173754,16,17
173754,17,18
173754,18,19
173754,19,20
173754,20,21
173754,21,22
173754,22,23
173754,23,24
173754,24,25
173754,25,26
173754,26,27
173754,27,28
173754,28,29
173754,29,30
173754,30,31
173754,31,32
173754,32,33
173754,33,34
173754,34,35
173754,35,36
173754,36,37
173754,37,38
173754,38,39
173754,39,40
173754,40,41
173757,0,1
173757,1,2
173760,0,1
173760,1,2
173760,2,3
173760,3,4
173760,4,5
173760,5,6
173760,6,7
173760,7,8
173760,8,9
173760,9,10
173760,10,11
173760,11,12
173760,12,13
173760,13,14
173760,14,15
173760,15,16
173760,16,17
173760,17,18
173760,18,19
173760,19,20
173760,20,21
173760,21,22
173760,22,23
173760,23,24
173760,24,25
173763,0,1
173763,1,2
173763,2,3
173763,3,4
173763,4,5
173766,0,1
173766,1,2
173766,2,3
173766,3,4
173766,4,5
173766,5,6
173766,6,7
173766,7,8
173766,8,9
173766,9,10
173766,10,11
173766,11,12
173766,12,13
173766,13,14
173766,14,15
173766,15,16
173766,16,17
173766,17,18
173766,18,19
173766,19,20
173766,20,21
173766,21,22
173766,22,23
173766,23,24
173766,24,25
173766,25,26
173766,26,27
173766,27,28
173769,0,1
173769,1,2
173772,0,1
173772,1,2
173775,0,1
173775,1,2
173775,2,3
173775,3,4
173775,4,5
173775,5,6
173775,6,7
173775,7,8
173778,0,1
173778,1,2
173778,2,3
173778,3,4
173778,4,5
173781,0,1
173781,1,2
173781,2,3
173781,3,4
173781,4,5
173781,5,6
173784,0,1
173784,1,2
173784,2,3
173784,3,4
173784,4,5
173784,5,6
173784,6,7
173784,7,8
173784,8,9
173784,9,10
173784,10,11
173784,11,12
173784,12,13
173784,13,14
173784,14,15
173784,15,16
173784,16,17
173784,17,18
173784,18,19
173784,19,20
173784,20,21
173784,21,22
173784,22,23
173784,23,24
173784,24,25
173784,25,26
173784,26,27
173784,27,28
173784,28,29
173784,29,30
173784,30,31
173784,31,32
173784,32,33
173784,33,34
173784,34,35
173784,35,36
173784,36,37
173784,37,38
173784,38,39
173784,39,40
173784,40,41
173784,41,42
173784,42,43
173784,43,44
173784,44,45
173784,45,46
173784,46,47
173784,47,48
173784,48,49
173784,49,50
173784,50,51
173784,51,52
173784,52,53
173784,53,54
173784,54,55
173784,55,56
173784,56,57
173784,57,58
173784,58,59
173784,59,60
173784,60,61
173784,61,62
173784,62,63
173784,63,64
173784,64,65
173784,65,66
173784,66,67
173784,67,68
173784,68,69
173784,69,70
173784,70,71
173784,71,72
173784,72,73
173784,73,74
173784,74,75
173784,75,76
173784,76,77
173784,77,78
173784,78,79
173784,79,80
173784,80,81
173784,81,82
173784,82,83
173784,83,84
173784,84,85
173784,85,86
173784,86,87
173784,87,88
173784,88,89
173784,89,90
173784,90,91
173784,91,92
173784,92,93
173784,93,94
173784,94,95
173784,95,96
173784,96,97
173784,97,98
173784,98,99
173784,99,100
173784,100,101
173784,101,102
173784,102,103
173784,103,104
173784,104,105
173784,105,106
173784,106,107
173787,0,1
173787,1,2
173787,2,3
173787,3,4
173787,4,5
173787,5,6
173787,6,7
173787,7,8
173787,8,9
173787,9,10
173787,10,11
173787,11,12
173787,12,13
173787,13,14
173787,14,15
173787,15,16
173787,16,17
173787,17,18
173787,18,19
173787,19,20
173787,20,21
173787,21,22
173787,22,23
173787,23,24
173787,24,25
173787,25,26
173787,26,27
173787,27,28
173787,28,29
173787,29,30
173787,30,31
173787,31,32
173787,32,33
